age,male,married,ln_wage,rural_hk,familysize,old_ratio,child_ratio,ln_property,ln_transfer,edu_my,ifsocial,social_rate_h,ln_pce,ln_indinc_cr,year2,citycode2
52,1,1,7.7112503,0,2,0,0,0,0,3,1,0.11842106,9.636392114,10.53230952,1,10
50,1,1,7.418581,1,3,0,0,4.1510401,6.8936563,3,1,0.097472928,9.886137914,9.487214246,1,10
46,0,1,7.6009026,1,4,0,0.25,0,0,2,0,0,10.5181325,9.648595303,3,9
48,0,1,7.3132205,1,3,0,0.33333334,0,0,2,0,0,10.76553327,10.1911696,5,9
44,0,1,7.3132205,0,2,0,0,0,5.5254531,3,0,0,9.868896108,8.9226583,3,9
25,0,1,8.0063677,1,3,0,0.33333334,0,0,2,0,0,10.98461453,10.05763826,5,9
42,1,1,7.3132205,1,4,0,0.5,0,1.3217559,3,0,0,10.03539262,9.404116903,1,9
29,1,0,8.5171928,1,1,0,0,2.8716795,0,4,0,0,10.34624845,11.02190247,5,9
48,1,1,8.5171928,1,3,0,0,0,3.0445225,2,0,0,9.405578154,10.38118029,1,9
41,0,1,6.4107227,1,3,0,0.33333334,0,3.5361166,1,0,0,8.770904744,8.46238499,1,9
41,1,1,6.3687587,1,5,0,0.2,0,2.3978953,1,0,0,9.868896108,9.15440474,1,8
54,1,1,6.5022902,1,3,0,0,0,2.8282993,2,1,0.23076923,10.07533781,8.425151036,1,8
30,1,1,7.1701198,0,3,0,0,0,0,3,1,0.1875,10.38034266,9.210340372,3,8
48,0,1,7.6009026,1,4,0,0,0,3.5361166,1,0,0,9.548240161,8.517193191,3,10
38,1,1,6.5510802,1,5,0,0.40000001,0,4.8362818,3,1,0.30000001,10.73203937,9.786391781,5,10
43,1,1,8.1605186,1,4,0,0.25,0,0,1,0,0,10.77184775,9.249320672,5,10
39,0,1,6.0322866,1,4,0,0.25,0,2.0368819,2,0,0,10.28123882,8.376781038,1,10
41,0,1,6.9077554,1,4,0,0.25,0,1.9218127,2,0,0,10.13126037,8.620200941,3,10
42,0,1,7.3132205,1,4,0.25,0,0,4.9368691,3,0,0,10.47953896,9.722565017,3,10
44,0,1,7.3132205,1,4,0.25,0,0,5.3033047,3,0,0,10.65867012,9.740968623,5,10
28,0,1,6.8023949,1,4,0,0.5,0,0,4,0,0,10.56617553,9.449357272,5,10
46,0,1,6.9877982,1,5,0.2,0,0,0,1,0,0,10.05466238,9.05017162,1,10
27,0,1,7.0900769,1,3,0,0.33333334,0,0,3,0,0,10.1871616,9.210340372,3,10
31,0,1,7.3132205,1,5,0,0.40000001,3.753418,0,1,0,0,9.946738595,9.220290703,5,10
47,0,1,7.8632669,1,3,0,0,5.1219778,4.4347773,2,0,0,10.01234196,10.35243779,3,10
24,1,1,7.6009026,1,5,0.2,0.2,4.4347773,4.3630986,1,0,0,10.67336427,8.561018671,3,10
26,1,1,7.6009026,1,5,0.2,0.2,4.7678556,4.1108737,1,0,0,10.92572263,9.680344001,5,10
32,0,1,7.4383836,1,3,0,0.33333334,0,0,4,1,0.19047619,11.69834223,9.903487553,5,10
42,0,1,6.0322866,1,5,0,0.2,0,4.4347773,1,0,0,10.78228408,9.502711434,1,10
44,0,1,6.9077554,1,5,0.2,0,0,4.9368691,1,0,0,10.60162227,9.603867843,3,10
59,1,1,8.2940493,1,2,0,0,0,3.8986001,1,0,0,9.902487052,12.61153775,3,10
41,0,1,7.6417246,1,4,0,0.25,0,2.8716795,2,0,0,11.99374539,9.573245866,1,10
41,1,1,8.1117277,1,5,0,0.2,0,0,2,0,0,10.05363021,9.529521111,1,10
46,1,1,8.0063677,1,5,0,0,0,3.753418,2,0,0,9.26860928,9.622450023,5,10
59,0,1,5.8091431,1,2,0,0,3.2580965,0,1,0,0,10.37910042,9.053686562,1,10
47,1,1,5.9269261,1,3,0,0,0,0,2,0,0,9.993328257,8.929302842,1,11
25,0,0,8.1605186,1,1,0,0,0,0,4,1,0.064171121,11.22131569,10.81977828,3,11
34,1,1,8.5171928,1,4,0,0.5,0,0,3,1,0.16528925,10.79507567,10.1266311,3,11
36,1,1,8.5171928,1,4,0,0.5,0,0,3,1,0.16528925,10.8704714,9.903487553,5,11
51,0,1,6.9077554,1,5,0,0.2,0,3.6287756,2,0,0,11.24713534,9.685828931,3,11
43,1,1,7.8240461,1,4,0,0,0,0,2,0,0,10.43117029,8.973034507,5,11
52,1,1,7.2677579,1,5,0,0,0,0,3,1,0.13043478,9.83798857,8.333270353,1,11
28,0,1,7.6962128,0,4,0,0.25,0,0,4,0,0,10.76890595,9.76995616,5,11
37,0,1,6.9077554,1,5,0,0.2,0,3.9318256,2,0,0.25,9.753826778,8.433811582,5,11
42,1,1,8.2940493,1,4,0,0,0,2.2335923,1,0,0,10.36533299,9.661415991,3,11
47,0,1,6.9077554,1,4,0,0,0,0,3,0,0,10.88556602,9.049588269,1,11
44,0,1,7.0900769,1,4,0,0.25,0,0,1,0,0,10.1222214,7.997999318,5,11
46,0,1,6.3687587,1,3,0,0,0,2.8716795,1,0,0,9.230142999,9.546812609,1,11
48,0,1,7.3132205,1,3,0,0,0,4.3307333,1,0,0,9.2023082,10.16456892,3,11
37,1,1,8.0063677,1,5,0.2,0.2,4.2145939,4.6233373,2,0,0,10.6539598,9.937985593,3,11
23,1,0,8.2427559,1,4,0,0,3.0445225,3.5361166,1,0,0,11.5893308,9.629708385,5,12
43,1,1,7.6009026,1,4,0,0.25,0,0,2,0,0,10.65159629,9.510444964,5,12
54,1,1,7.9010072,1,2,0,0,0,3.753418,3,0,0,9.287671715,9.528794103,5,12
44,1,1,7.8240461,1,3,0,0.33333334,0,0,3,1,0.062617175,10.18111929,9.382611593,1,13
46,1,1,7.8240461,1,3,0,0,0,0,3,0,0,10.45679779,9.557493436,3,13
48,1,1,7.8240461,1,3,0,0,0,2.6026897,3,0,0,11.18150047,9.2156595,5,13
55,1,1,6.0322866,1,4,0,0,0,2.7725887,1,0,0,9.405660415,9.263407093,1,13
41,0,1,7.8240461,0,4,0,0.25,0,0,2,0,0,11.52188521,10.56540203,1,13
39,1,1,6.7254338,1,4,0,0.5,0,3.4067376,1,0,0,9.985988774,9.402818509,1,13
51,1,1,7.495542,0,3,0,0,0,0,3,1,0.13875598,11.47926526,9.903487553,3,14
45,0,1,5.9914646,1,4,0,0.25,0,0,2,0,0,11.05595651,10.53209621,5,14
44,1,1,8.0063677,0,3,0,0,0,0,2,0,0,10.83742172,7.313220387,3,14
44,1,1,7.8240461,1,4,0,0,0,3.0445225,3,0,0,10.7539803,9.628063377,1,15
23,1,0,8.5171928,1,1,0,0,0,0,2,0,0,9.893437217,11.00209984,5,16
31,0,1,8.2427559,1,2,0,0,0,0,2,0,0,10.62083942,10.46310334,5,16
58,1,1,8.0063677,1,2,0,0,0,2.8716795,2,0,0,10.36722157,9.564512186,3,11
41,0,1,6.8023949,1,3,0,0,0,2.6026897,2,0,0,10.0647557,9.484177038,3,11
